source_dataset,source_row_id,source_name,raw_smiles,canonical_smiles,inchikey,is_first_occurrence_of_structure
lnp_atlas,261,11-A3-8b,NCCCN(CC1=CC(=C(OC(=O)CC(CC)CCCCC)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC)CCN,CCCCCC(CC)CC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CC(CC)CCCCC)c1OC(=O)CC(CC)CCCCC,HKMJELYTTNMXOY-UHFFFAOYSA-N,True
lnp_atlas,262,12-A3-8b,NCCN(CC1=CC(=C(OC(=O)CC(CC)CCCCC)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC)CCCN,CCCCCC(CC)CC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CC(CC)CCCCC)c1OC(=O)CC(CC)CCCCC,HKMJELYTTNMXOY-UHFFFAOYSA-N,False
lnp_atlas,263,1-A3-9b2,NNCC1=CC(=C(OC(=O)CCC(CC)CCCCCC)C(=C1)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC,CCCCCCC(CC)CCC(=O)Oc1cc(CNN)cc(OC(=O)CCC(CC)CCCCCC)c1OC(=O)CCC(CC)CCCCCC,RBZWBWWXPBWDCL-UHFFFAOYSA-N,True
lnp_atlas,264,2-A3-9b2,NCCCCNCC1=CC(=C(OC(=O)CCC(CC)CCCCCC)C(=C1)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC,CCCCCCC(CC)CCC(=O)Oc1cc(CNCCCCN)cc(OC(=O)CCC(CC)CCCCCC)c1OC(=O)CCC(CC)CCCCCC,FYYNOSXCAHWSEI-UHFFFAOYSA-N,True
lnp_atlas,265,3-A3-9b2,NC1CCN(CC1)CC2=CC(=C(OC(=O)CCC(CC)CCCCCC)C(=C2)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC,CCCCCCC(CC)CCC(=O)Oc1cc(CN2CCC(N)CC2)cc(OC(=O)CCC(CC)CCCCCC)c1OC(=O)CCC(CC)CCCCCC,JYNAIFLYNWDCEE-UHFFFAOYSA-N,True
lnp_atlas,266,4-A3-9b2,NCCN1CCN(CC1)CC2=CC(=C(OC(=O)CCC(CC)CCCCCC)C(=C2)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC,CCCCCCC(CC)CCC(=O)Oc1cc(CN2CCN(CCN)CC2)cc(OC(=O)CCC(CC)CCCCCC)c1OC(=O)CCC(CC)CCCCCC,YMOQDQFYQNBXFO-UHFFFAOYSA-N,True
lnp_atlas,267,11-A3-9b2,NCCCN(CC1=CC(=C(OC(=O)CCC(CC)CCCCCC)C(=C1)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC)CCN,CCCCCCC(CC)CCC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CCC(CC)CCCCCC)c1OC(=O)CCC(CC)CCCCCC,SESJZWKOYHQUDR-UHFFFAOYSA-N,True
lnp_atlas,268,12-A3-9b2,NCCN(CC1=CC(=C(OC(=O)CCC(CC)CCCCCC)C(=C1)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC)CCCN,CCCCCCC(CC)CCC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CCC(CC)CCCCCC)c1OC(=O)CCC(CC)CCCCCC,SESJZWKOYHQUDR-UHFFFAOYSA-N,False
lnp_atlas,269,1-A2-7,NNCC1=CC(=C(O)C(=C1)OC(=O)CCCCCCCC)OC(=O)CCCCCCCC,CCCCCCCCC(=O)Oc1cc(CNN)cc(OC(=O)CCCCCCCC)c1O,DZDROQIMVPDSJB-UHFFFAOYSA-N,True
lnp_atlas,270,2-A2-7,NCCCCNCC1=CC(=C(O)C(=C1)OC(=O)CCCCCCCC)OC(=O)CCCCCCCC,CCCCCCCCC(=O)Oc1cc(CNCCCCN)cc(OC(=O)CCCCCCCC)c1O,LFSROISXUHZZQH-UHFFFAOYSA-N,True
lnp_atlas,271,3-A2-7,NC1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CCCCCCCC)OC(=O)CCCCCCCC,CCCCCCCCC(=O)Oc1cc(CN2CCC(N)CC2)cc(OC(=O)CCCCCCCC)c1O,HQBSMNVGHUPIGI-UHFFFAOYSA-N,True
lnp_atlas,272,4-A2-7,NCCN1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CCCCCCCC)OC(=O)CCCCCCCC,CCCCCCCCC(=O)Oc1cc(CN2CCN(CCN)CC2)cc(OC(=O)CCCCCCCC)c1O,QLPIBDQIFJNNJH-UHFFFAOYSA-N,True
lnp_atlas,273,11-A2-7,NCCCN(CC1=CC(=C(O)C(=C1)OC(=O)CCCCCCCC)OC(=O)CCCCCCCC)CCN,CCCCCCCCC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CCCCCCCC)c1O,SZBAEUWTYDLGCP-UHFFFAOYSA-N,True
lnp_atlas,274,12-A2-7,NCCN(CC1=CC(=C(O)C(=C1)OC(=O)CCCCCCCC)OC(=O)CCCCCCCC)CCCN,CCCCCCCCC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CCCCCCCC)c1O,SZBAEUWTYDLGCP-UHFFFAOYSA-N,False
lnp_atlas,275,1-A2-6,NNCC1=CC(=C(O)C(=C1)OC(=O)CCCCCC)OC(=O)CCCCCC,CCCCCCC(=O)Oc1cc(CNN)cc(OC(=O)CCCCCC)c1O,CKSSKRXKVDNKBU-UHFFFAOYSA-N,True
lnp_atlas,276,5-A2-6b,CN(C)CCNCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC,CCCC(CC)CC(=O)Oc1cc(CNCCN(C)C)cc(OC(=O)CC(CC)CCC)c1O,JFBQSBDXDJIVJQ-UHFFFAOYSA-N,True
lnp_atlas,277,9-A2-6b,CCCCCCCC(CCCN)NCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC,CCCCCCCC(CCCN)NCc1cc(OC(=O)CC(CC)CCC)c(O)c(OC(=O)CC(CC)CCC)c1,NHVHTESIVRQDRD-UHFFFAOYSA-N,True
lnp_atlas,278,6-A2-7,CN(CCCC)NCC1=CC(=C(O)C(=C1)OC(=O)CCCCCCCC)OC(=O)CCCCCCCC,CCCCCCCCC(=O)Oc1cc(CNN(C)CCCC)cc(OC(=O)CCCCCCCC)c1O,MGWPUWQSTIIDHX-UHFFFAOYSA-N,True
lnp_atlas,279,8-A2-7b,CCCCCCCC(CCNCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC)CC,CCCCCCCC(CC)CCNCc1cc(OC(=O)CC(CC)CCCC)c(O)c(OC(=O)CC(CC)CCCC)c1,PZNRKOJPNKUQLW-UHFFFAOYSA-N,True
lnp_atlas,280,8-A2-7b2,CCCCCCCC(CCNCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC)CC,CCCCCCCC(CC)CCNCc1cc(OC(=O)CC(CC)CCCC)c(O)c(OC(=O)CC(CC)CCCC)c1,PZNRKOJPNKUQLW-UHFFFAOYSA-N,False
lnp_atlas,281,5-A2-8b,CN(C)CCNCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC,CCCCCC(CC)CC(=O)Oc1cc(CNCCN(C)C)cc(OC(=O)CC(CC)CCCCC)c1O,WQXLLZCOLIOWSZ-UHFFFAOYSA-N,True
lnp_atlas,282,6-A2-8b,CN(CCCC)NCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC,CCCCCC(CC)CC(=O)Oc1cc(CNN(C)CCCC)cc(OC(=O)CC(CC)CCCCC)c1O,CQPDMWZINUQQNB-UHFFFAOYSA-N,True
lnp_atlas,283,7-A2-8b,CCCCCN(CCC)NCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC,CCCCCC(CC)CC(=O)Oc1cc(CNN(CCC)CCCCC)cc(OC(=O)CC(CC)CCCCC)c1O,KHOXFARUQHLXBW-UHFFFAOYSA-N,True
lnp_atlas,284,8-A2-8b,CCCCCCCC(CCNCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC)CC,CCCCCCCC(CC)CCNCc1cc(OC(=O)CC(CC)CCCCC)c(O)c(OC(=O)CC(CC)CCCCC)c1,OBLRGSMHGAGZCM-UHFFFAOYSA-N,True
lnp_atlas,285,9-A2-8b,CCCCCCCC(CCCN)NCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC,CCCCCCCC(CCCN)NCc1cc(OC(=O)CC(CC)CCCCC)c(O)c(OC(=O)CC(CC)CCCCC)c1,DKFQZOZEVBPYMN-UHFFFAOYSA-N,True
